Edad,Ingresos_Anuales,Experiencia_Tecnológica,Estrategia_Marketing,Adopcion_Servicio_Nube,Interacciones_Redes_Sociales
19,630.2112002832414,Baja,Publicidad en Eventos,No,97.30003156902049
19,2144.767751800301,Baja,Publicidad en Línea,No,46.999509061166556
57,3699.2022741481805,Baja,Publicidad en Línea,Sí,13.443200283024925
59,573.408644213942,Media,Publicidad en Eventos,No,9.667623476529474
53,2264.2242503913294,Alta,Publicidad en Línea,Sí,56.33502363342636
56,1877.3961562530421,Baja,Marketing de Influencia,Sí,57.405751896558556
29,3110.0162797959792,Media,Marketing de Influencia,Sí,63.60166484588872
36,859.2567628477217,Media,Marketing de Influencia,Sí,55.87664288417615
45,933.4225262378527,Alta,Marketing de Influencia,Sí,59.57151825022097
18,2949.216099796264,Baja,Publicidad en Línea,No,41.10769259597195
32,2815.842799848054,Media,Marketing de Contenido,Sí,42.236790728576445
53,2215.4263360101922,Baja,Marketing de Contenido,Sí,91.76313392013638
30,316.86486237727587,Alta,Marketing de Contenido,No,2.115257810633897
38,3465.959671256423,Baja,Marketing de Contenido,Sí,69.98734650313682
29,3953.37138983136,Baja,Marketing de Influencia,Sí,9.232447677299561
22,2769.5435674323608,Alta,Marketing de Contenido,No,91.02286615054062
24,3752.943398773895,Baja,Marketing de Influencia,Sí,14.990941040513606
22,3103.9140310027524,Media,Publicidad en Línea,No,33.958442179009275
21,2831.3991158551403,Alta,Publicidad en Línea,No,11.057702261181458
30,1599.674934962101,Alta,Marketing de Contenido,Sí,42.75289231742862
54,594.7407608695395,Media,Publicidad en Eventos,Sí,61.89408081875436
58,419.0322962776327,Media,Marketing de Contenido,Sí,14.668293313539726
32,1967.0776741811328,Media,Marketing de Contenido,Sí,9.030189994967298
33,2000.28224395936,Alta,Publicidad en Eventos,Sí,43.952459400338384
38,1728.8853999940864,Baja,Marketing de Contenido,No,97.38382044519314
53,410.7151532405197,Alta,Publicidad en Línea,Sí,52.28131241504853
41,1037.57737646323,Alta,Publicidad en Línea,Sí,72.05073802691015
33,805.1036489237022,Alta,Publicidad en Línea,Sí,20.70411255739296
31,347.1328259184623,Alta,Publicidad en Eventos,No,6.5404201311421435
39,2590.794187255951,Baja,Marketing de Contenido,No,14.361444712975224
23,666.1000691981217,Media,Marketing de Influencia,Sí,86.8098400518729
59,849.0412814127475,Baja,Marketing de Influencia,No,6.555733744984138
53,666.71870283601,Alta,Publicidad en Línea,Sí,65.60085416237864
18,3129.262014058941,Alta,Marketing de Contenido,Sí,61.62960962686519
49,3568.50009288788,Alta,Publicidad en Línea,Sí,9.955446071512242
23,739.5379101910851,Baja,Publicidad en Línea,No,20.522685959139032
48,2577.9602535509084,Alta,Marketing de Influencia,Sí,29.208341735199017
18,2592.8479849756186,Alta,Marketing de Contenido,No,89.64261668507922
54,1340.9080151615194,Media,Marketing de Contenido,No,43.44128572678553
52,2477.4989326158147,Alta,Marketing de Influencia,No,10.077421296417178
47,1903.1424720843113,Alta,Marketing de Contenido,Sí,41.45053839533486
21,698.2874226430458,Baja,Marketing de Contenido,Sí,31.151710378090392
52,3845.5141451840273,Media,Publicidad en Eventos,Sí,20.922024528173445
31,2810.9511373763844,Baja,Publicidad en Eventos,No,92.60960923445523
57,3829.6501876641273,Baja,Publicidad en Eventos,Sí,65.74711156986059
39,858.786237353128,Baja,Publicidad en Eventos,No,46.19101935129483
27,3238.3686096072897,Media,Publicidad en Línea,Sí,98.97986392076767
18,1856.3155259474756,Baja,Marketing de Contenido,Sí,2.482712788797692
28,3739.838743406165,Baja,Publicidad en Eventos,Sí,55.72796446625192
41,2841.866541101937,Media,Publicidad en Línea,Sí,16.417398013926277
20,844.5121391124171,Alta,Marketing de Contenido,Sí,52.227666945612405
52,420.15593835465637,Media,Publicidad en Línea,No,28.403000405400736
53,764.8022945078496,Media,Publicidad en Eventos,Sí,57.865362031887244
48,2936.9521754979887,Alta,Publicidad en Línea,Sí,91.06543646069528
21,339.00471212571597,Media,Marketing de Contenido,Sí,95.10705853721093
36,2069.5786507402036,Alta,Publicidad en Línea,No,61.96213579208276
53,2346.2972964939136,Alta,Publicidad en Eventos,No,61.124228833322135
38,3305.39005327025,Alta,Publicidad en Línea,No,97.39065481572156
35,1952.4009459640354,Media,Publicidad en Línea,Sí,68.8274305646001
45,320.3007724808537,Alta,Publicidad en Línea,Sí,68.94122708374971
32,1109.4940645761615,Baja,Marketing de Contenido,No,40.700370707485234
59,475.9508849569803,Media,Marketing de Contenido,No,42.437046947680024
19,3929.523898208974,Alta,Marketing de Influencia,Sí,25.4666021918606
54,2662.162638823799,Baja,Publicidad en Eventos,No,88.78942710486871
28,307.10410249965173,Media,Marketing de Influencia,No,25.591788387372606
40,442.5580196548716,Baja,Marketing de Contenido,No,32.86823400585398
58,1134.4315224281481,Baja,Publicidad en Eventos,Sí,47.98726549468662
29,3181.765429553789,Baja,Marketing de Contenido,Sí,56.33712848527003
20,1776.3709862005574,Media,Marketing de Contenido,Sí,92.4216365176868
34,2169.8412891606963,Baja,Publicidad en Línea,Sí,27.888404941658717
50,3528.282469258408,Media,Publicidad en Línea,Sí,52.108567860072185
18,3597.5988297446997,Baja,Publicidad en Eventos,No,76.93401581331324
56,1883.0013894494691,Baja,Marketing de Influencia,No,38.777976177912755
37,3112.590067266349,Media,Publicidad en Línea,Sí,48.81872041826614
58,1166.4504942720232,Media,Publicidad en Línea,Sí,54.77066210872804
31,948.1896783465021,Media,Marketing de Contenido,Sí,17.36214448079768
48,3912.2888603491206,Media,Publicidad en Eventos,Sí,61.1336884112533
42,2661.343739291674,Baja,Marketing de Contenido,Sí,54.7453469649067
20,2731.9636119611487,Baja,Publicidad en Eventos,No,66.0061339154861
21,3548.0001591768064,Media,Publicidad en Eventos,No,81.58410530404863
48,400.0272873661994,Alta,Publicidad en Línea,No,51.099431488401834
52,1357.7870351119063,Alta,Publicidad en Línea,Sí,2.4227376188573957
31,2960.9290616116095,Media,Publicidad en Línea,Sí,16.068760418621153
58,1982.1058053260365,Baja,Publicidad en Línea,No,30.524128647725767
26,3788.615150347995,Baja,Publicidad en Eventos,Sí,71.46876377921545
37,1967.1256367505018,Baja,Publicidad en Línea,No,92.90447846584192
49,770.0192067569891,Baja,Marketing de Influencia,Sí,60.51944551648799
26,3657.010984761707,Media,Marketing de Contenido,No,74.50561635529873
44,318.93205848110824,Baja,Publicidad en Eventos,No,93.35960190070827
20,3107.424930400779,Media,Publicidad en Línea,No,45.48974528297567
21,330.8493354126304,Media,Marketing de Contenido,Sí,6.166956372888621
32,2013.895672216328,Baja,Publicidad en Eventos,Sí,85.07738535180516
50,1060.5227897751488,Media,Publicidad en Línea,No,78.66495976902074
22,3821.15255892494,Baja,Publicidad en Línea,Sí,86.97829517314509
21,1767.9398352375379,Alta,Publicidad en Eventos,Sí,64.38090553413824
29,414.52544935190764,Media,Publicidad en Eventos,Sí,61.94445206876702
40,3174.1391814414906,Baja,Publicidad en Línea,Sí,5.996252660367363
31,1471.3606101429225,Alta,Marketing de Influencia,No,39.5824460133046
29,2665.9958583403313,Baja,Publicidad en Eventos,Sí,24.7924686319701
34,1799.3437942887695,Baja,Publicidad en Eventos,No,66.53487263331033
42,1922.5021392933988,Media,Marketing de Contenido,No,59.751998105145
47,1276.0468378871421,Alta,Publicidad en Línea,Sí,34.420019314935544
39,3216.8306511690544,Baja,Publicidad en Línea,Sí,93.67466625087312
43,2015.7658135099275,Media,Marketing de Contenido,Sí,86.47985500312029
34,446.5847365985525,Media,Marketing de Influencia,Sí,49.764201552214615
37,3795.6385274394347,Baja,Marketing de Contenido,Sí,93.77753321872238
51,2138.606899404536,Alta,Marketing de Influencia,Sí,16.221582202194806
58,2098.0962055756013,Alta,Marketing de Contenido,Sí,43.8611459523277
50,1581.8674249801054,Baja,Publicidad en Línea,Sí,77.71906415704672
54,2650.046991314236,Baja,Publicidad en Eventos,Sí,17.084212227908246
24,1785.7076416268155,Baja,Marketing de Contenido,Sí,66.30352966313946
39,3073.0735923906113,Baja,Publicidad en Eventos,Sí,91.4101775814515
49,3543.355522575864,Media,Publicidad en Eventos,No,56.56544415677532
31,2112.0064196351445,Alta,Marketing de Influencia,Sí,7.662186149071914
25,2714.443602629622,Media,Marketing de Influencia,Sí,44.41803831655336
42,1393.4868734767272,Media,Publicidad en Línea,Sí,49.838576662686975
33,2613.990352698977,Alta,Publicidad en Eventos,Sí,58.860104229161735
59,2650.38575611637,Media,Publicidad en Línea,No,0.8376790282371926
36,2194.307222346629,Media,Marketing de Influencia,Sí,10.973891521983592
58,891.4304144818218,Alta,Marketing de Influencia,Sí,8.824727568267143
33,2983.6465075875294,Alta,Publicidad en Eventos,Sí,0.13181724838037256
29,1482.7572056408158,Alta,Publicidad en Línea,Sí,45.34871500956663
56,1736.3947244838494,Media,Marketing de Influencia,Sí,77.67754695404358
47,3450.712253318948,Alta,Publicidad en Línea,Sí,7.919399507264857
19,2820.1627001350207,Alta,Marketing de Influencia,No,76.88030397885856
49,605.8823193623205,Media,Marketing de Contenido,Sí,20.167973060385393
42,2391.9026274404655,Baja,Publicidad en Eventos,Sí,26.312244552890153
42,621.6044233113148,Media,Publicidad en Línea,Sí,69.11473407773809
21,2688.1890139388906,Alta,Publicidad en Eventos,Sí,86.90531035044978
36,1760.2135549946006,Alta,Marketing de Influencia,Sí,4.272162080881059
21,3308.096141433187,Baja,Publicidad en Eventos,Sí,20.555681269908987
30,3186.6616281403517,Media,Publicidad en Línea,Sí,12.697360754614929
56,3998.921001467229,Alta,Marketing de Contenido,No,70.88574978678321
53,1406.9300091850205,Baja,Marketing de Contenido,Sí,41.60530684243425
40,947.7915443267711,Baja,Marketing de Influencia,Sí,69.93300382891739
23,985.677482021087,Media,Publicidad en Línea,Sí,78.40780318351311
41,2516.0002507593963,Baja,Marketing de Influencia,Sí,33.70040806318436
50,1537.8133589895228,Alta,Marketing de Contenido,Sí,49.80305140358404
29,3655.3628706276004,Baja,Marketing de Influencia,Sí,53.93782644653692
58,593.6181275768852,Alta,Publicidad en Línea,Sí,91.5661717608569
38,3129.822204101757,Media,Marketing de Influencia,No,18.195213573394188
28,2111.9293866125,Media,Marketing de Influencia,Sí,48.943493155408035
55,2658.50371324073,Alta,Marketing de Contenido,Sí,87.96305422876249
46,2474.9497048341136,Media,Publicidad en Línea,Sí,30.737357831449074
58,2261.95683451937,Media,Marketing de Contenido,Sí,55.0974299352932
20,2883.885213383013,Media,Publicidad en Línea,Sí,68.6484531589144
45,2319.113453507552,Alta,Marketing de Influencia,Sí,18.4096943794019
37,3713.1452813886804,Baja,Publicidad en Línea,Sí,8.27871684580348
43,2341.207067820519,Media,Marketing de Contenido,Sí,36.76339890806428
41,3702.76320994158,Media,Publicidad en Línea,No,61.01760169536609
38,3283.439787522441,Alta,Marketing de Contenido,Sí,96.06487305773686
47,3435.927069990578,Alta,Marketing de Influencia,No,73.83256183765184
21,3619.963654512836,Baja,Publicidad en Línea,Sí,23.41000001547534
53,1049.4587645263719,Baja,Marketing de Influencia,Sí,3.019134517902744
57,1567.452086256047,Alta,Publicidad en Eventos,No,88.0337231727121
27,3627.6836245300137,Baja,Marketing de Influencia,Sí,52.305137277279826
27,852.0947286278719,Alta,Publicidad en Eventos,No,66.29857067018227
59,2113.5361010444603,Media,Publicidad en Eventos,Sí,23.61772128923725
41,687.5696286273871,Baja,Marketing de Influencia,Sí,22.22430205201643
21,864.4231843471711,Media,Marketing de Influencia,Sí,83.09830375853261
44,2478.890357547861,Baja,Marketing de Influencia,Sí,10.047805550343769
21,1765.5756077251626,Alta,Publicidad en Línea,No,12.021700815042436
49,1867.6608648003207,Alta,Publicidad en Línea,Sí,51.254558282845366
27,2180.086371487948,Media,Marketing de Influencia,Sí,37.549931173117436
28,2744.69327438744,Media,Publicidad en Eventos,Sí,0.9193972360928893
45,2147.5190553557695,Media,Publicidad en Línea,Sí,46.40744740157612
25,1564.5578392155721,Baja,Publicidad en Eventos,Sí,17.232318583677763
57,1013.3913564719057,Alta,Marketing de Contenido,Sí,32.38004574177761
39,2018.550608549479,Alta,Publicidad en Eventos,Sí,98.04352914524512
51,1689.5462052813016,Alta,Marketing de Influencia,No,72.6273479198248
52,3317.147394804486,Alta,Publicidad en Eventos,Sí,40.67285757700747
52,356.5995863034922,Alta,Marketing de Contenido,Sí,83.82321476264765
42,2410.4718123216944,Media,Publicidad en Eventos,No,21.373599140961762
51,2588.299280441387,Alta,Publicidad en Eventos,Sí,94.7916009693884
23,3955.217213091885,Alta,Marketing de Contenido,Sí,1.3371226245304513
58,3575.8476046043975,Baja,Publicidad en Línea,Sí,85.6301673362614
54,2214.9989083449113,Media,Marketing de Contenido,Sí,80.42143949987923
18,1367.5071747003376,Media,Publicidad en Eventos,Sí,29.903331563254042
29,337.6844967134071,Baja,Publicidad en Eventos,Sí,36.22314178746857
52,1190.888880314039,Media,Publicidad en Eventos,Sí,54.27976144102637
23,3435.5109386345825,Media,Marketing de Contenido,No,66.47809586862786
34,3901.04809514783,Baja,Marketing de Influencia,No,42.1034136333855
26,2893.9006942349406,Media,Marketing de Influencia,Sí,64.44468057595871
19,2534.2605703314025,Alta,Publicidad en Línea,Sí,75.2645298233087
35,2543.0662868863083,Alta,Publicidad en Línea,Sí,66.92501617568128
53,2704.658227806185,Alta,Publicidad en Eventos,Sí,84.86507658407464
45,306.61973899256554,Media,Marketing de Contenido,No,7.584799311312174
58,1668.8460941897063,Alta,Publicidad en Eventos,No,62.52090822331936
54,1518.3316418257496,Baja,Marketing de Influencia,No,62.21474222609934
43,3918.352799689422,Alta,Publicidad en Eventos,Sí,5.528449458957285
21,302.6887864038429,Baja,Marketing de Influencia,Sí,18.906363307135944
57,3024.4754528135823,Baja,Marketing de Influencia,Sí,79.89016857514011
53,1799.5615733787592,Media,Publicidad en Línea,Sí,90.44431237893636
48,539.6133857773826,Alta,Marketing de Influencia,No,9.560369009849934
47,1635.525584936806,Alta,Publicidad en Línea,Sí,88.22876079034485
51,773.0405976254547,Alta,Publicidad en Eventos,Sí,20.693787217045035
36,438.23186497272013,Media,Marketing de Contenido,Sí,16.88079497472499
35,2828.776330467836,Alta,Marketing de Influencia,Sí,85.79921363790581
47,391.3329239704424,Media,Marketing de Influencia,Sí,53.434849692336584
38,344.26718483836515,Media,Marketing de Influencia,No,31.634371547668614
20,1876.1408907097843,Baja,Publicidad en Línea,Sí,82.13224885400507
23,783.0917946322149,Alta,Marketing de Contenido,Sí,90.01112511008985
55,1950.6721770898152,Baja,Publicidad en Eventos,No,95.81821474281627
30,1654.3269762823434,Alta,Marketing de Influencia,Sí,4.434518381901109
20,678.426206246121,Baja,Marketing de Contenido,Sí,32.70323946946204
45,2666.916551161939,Alta,Publicidad en Eventos,Sí,17.041289415236204
39,2703.9720893047297,Alta,Publicidad en Línea,Sí,43.75384586213731
57,2685.308242515139,Alta,Marketing de Influencia,Sí,84.49881271985478
57,3499.131037227131,Baja,Publicidad en Línea,No,23.019741167731887
29,325.0628407470583,Media,Publicidad en Eventos,Sí,48.67525469923826
40,402.619577619124,Media,Publicidad en Eventos,Sí,89.21069663328387
48,2235.711558133853,Alta,Publicidad en Línea,No,58.244028308860685
35,2024.2574537541475,Baja,Publicidad en Línea,No,31.79932342127678
24,3965.09965861025,Alta,Publicidad en Línea,Sí,42.79471327967516
25,1622.883457701983,Media,Publicidad en Eventos,Sí,86.00936260003753
36,1739.6855191925324,Alta,Marketing de Contenido,Sí,65.12450924552546
46,3392.113566189037,Baja,Marketing de Contenido,No,57.2452966195266
37,2605.4410599464522,Baja,Marketing de Influencia,No,26.093773844974134
59,562.9779476939636,Media,Marketing de Influencia,Sí,95.87206832910337
47,513.3393909146029,Alta,Publicidad en Eventos,Sí,97.27947582266239
39,2255.641671053364,Alta,Marketing de Influencia,Sí,58.49985911639281
27,1768.0577017567448,Media,Marketing de Contenido,No,81.19899035370258
43,3021.095925995626,Alta,Publicidad en Eventos,Sí,24.063799464102686
50,2623.8300829350087,Alta,Publicidad en Línea,No,65.11494379181492
45,301.1341876812079,Alta,Publicidad en Línea,Sí,13.045409744344028
27,362.44733211767846,Alta,Marketing de Contenido,Sí,88.73421337851167
46,3406.943600143793,Baja,Publicidad en Eventos,Sí,75.3478120070018
35,908.9651664581042,Alta,Marketing de Contenido,Sí,13.671790600056378
59,2407.5034151902823,Media,Publicidad en Línea,Sí,10.57086549760944
18,3779.838196122728,Baja,Publicidad en Línea,No,10.487945990672031
40,3876.444584606561,Baja,Publicidad en Línea,Sí,60.04614076856737
34,3423.7351234594644,Baja,Marketing de Contenido,Sí,69.55626358144875
54,3589.016028568888,Media,Publicidad en Eventos,No,15.31581221776267
48,3648.7173760926653,Baja,Marketing de Contenido,Sí,22.61757998297538
42,583.2564962872902,Media,Marketing de Contenido,Sí,89.75932575388671
21,3471.798437957931,Media,Publicidad en Eventos,Sí,5.013513555429993
26,1838.2088707796775,Baja,Publicidad en Línea,No,18.955992276676604
45,457.8629211779371,Alta,Publicidad en Línea,Sí,0.20820294928294292
47,2272.733070464738,Media,Publicidad en Línea,No,1.9368315551358428
41,731.8049685414585,Alta,Marketing de Influencia,Sí,22.882296347558462
50,592.7235415453815,Media,Publicidad en Eventos,Sí,57.316500343035784
37,2030.0416288662584,Baja,Marketing de Influencia,Sí,59.189380568144855
26,1464.645247294383,Baja,Publicidad en Eventos,Sí,15.427130367093522
25,3560.8754181972536,Alta,Marketing de Influencia,Sí,24.9592605209364
41,1467.6861207897093,Alta,Marketing de Contenido,Sí,73.20469404139057
31,3343.5323143339615,Alta,Marketing de Contenido,No,47.34603158820859
35,318.0974946981176,Alta,Publicidad en Eventos,Sí,70.38283312500293
18,3812.0715786687106,Media,Publicidad en Línea,No,85.29762913701755
29,501.0173910910843,Alta,Marketing de Contenido,No,67.36169286719851
46,1272.6684120312802,Media,Publicidad en Línea,No,20.163131868890027
54,392.08030661003505,Baja,Marketing de Influencia,No,48.96082837328129
43,3849.613270997299,Alta,Publicidad en Eventos,Sí,60.215369047183245
50,491.23493775982627,Media,Publicidad en Línea,Sí,1.2092727678460813
32,1591.311253871426,Media,Publicidad en Línea,No,49.65933459085334
40,2756.209104132868,Media,Marketing de Contenido,Sí,19.577077826531852
46,1491.4584474603696,Alta,Marketing de Contenido,No,98.12095140366998
38,327.7009401298061,Alta,Marketing de Influencia,Sí,56.587337475328944
36,1190.1183722800884,Media,Marketing de Contenido,Sí,49.43305568848317
22,2944.3627926738877,Media,Marketing de Influencia,No,36.35274128943997
40,1699.630182938483,Alta,Marketing de Influencia,Sí,41.70171666810727
53,3335.0557510913827,Media,Publicidad en Eventos,Sí,20.054849990216827
37,3034.2258940467073,Media,Marketing de Contenido,Sí,94.23523341965245
25,2468.150323417494,Media,Publicidad en Línea,Sí,90.44237167363092
26,649.5587030526804,Baja,Publicidad en Eventos,No,30.843248127040578
31,3933.3978143746904,Alta,Marketing de Influencia,Sí,98.2130705848256
23,2226.489570521445,Alta,Marketing de Contenido,No,18.95750020233554
18,1262.6633540959783,Baja,Marketing de Contenido,Sí,15.721540393347244
26,2527.8981625457004,Alta,Marketing de Contenido,No,12.032109193733243
33,2915.0853325402927,Baja,Marketing de Influencia,Sí,65.99797643054976
33,2029.766643885324,Baja,Marketing de Contenido,No,49.40212718028886
29,2674.7746367496084,Media,Publicidad en Eventos,Sí,32.68086332281148
22,699.7484372465565,Media,Publicidad en Eventos,Sí,29.89919184555143
57,3534.042539002403,Alta,Publicidad en Línea,Sí,57.09507320053473
46,2818.6829861076385,Media,Marketing de Influencia,No,58.90432685529174
44,3160.0517533798397,Alta,Marketing de Influencia,No,9.244365804763966
28,720.8197230201529,Alta,Marketing de Influencia,Sí,64.11373993021546
45,2221.4199256091324,Baja,Marketing de Contenido,Sí,66.9029776559604
53,2862.6006880015916,Alta,Marketing de Influencia,Sí,91.27275665073633
59,2232.4465431944864,Baja,Publicidad en Eventos,Sí,79.74302602067935
36,667.0732798715067,Alta,Publicidad en Eventos,No,87.05558912556806
52,524.4390079972834,Media,Publicidad en Línea,Sí,22.970439418766464
48,2579.2600719275824,Alta,Marketing de Contenido,Sí,66.42720909393806
36,3248.4976729517402,Media,Publicidad en Línea,Sí,82.29804393281395
41,3987.5274513183267,Alta,Publicidad en Eventos,No,7.731387810372725
19,2402.404666937631,Baja,Marketing de Contenido,Sí,50.66515139741102
24,1149.1401845168398,Media,Publicidad en Eventos,Sí,53.08809891013168
48,1798.783286196531,Media,Marketing de Contenido,No,56.64542652613706
34,694.5667042295802,Media,Publicidad en Eventos,Sí,98.06197086408334
44,1831.3214752124984,Alta,Marketing de Contenido,Sí,88.77695788204015
53,3408.6189358036163,Alta,Publicidad en Eventos,No,50.916905008561876
27,1743.7389339982742,Alta,Publicidad en Eventos,Sí,15.504341915297747
31,491.4142304946924,Baja,Publicidad en Eventos,No,90.52558288933662
24,913.8722569453498,Alta,Publicidad en Línea,Sí,33.632256191951704
56,2777.807500478561,Alta,Publicidad en Línea,No,80.95100376711429
57,2857.534404371209,Baja,Publicidad en Eventos,No,95.89396446963502
26,1032.7544734566914,Baja,Publicidad en Línea,No,23.145622420134828
31,3297.523706056776,Media,Marketing de Contenido,Sí,92.77995667558872
25,1339.1658379830596,Baja,Marketing de Contenido,Sí,9.69208917603741
34,2356.146364360053,Baja,Marketing de Contenido,No,36.9124119172003
40,1438.510876253833,Baja,Publicidad en Línea,Sí,71.78698574191678
33,2864.5329708138443,Media,Marketing de Contenido,Sí,85.8189451579954
43,1689.9979249382263,Media,Publicidad en Línea,Sí,19.35069791676781
26,3118.685614431739,Alta,Publicidad en Eventos,Sí,84.76122415461998
53,2088.6765576163725,Baja,Marketing de Contenido,No,80.80009078334417
24,2668.9998646305967,Alta,Publicidad en Línea,Sí,35.48501511361989
35,3726.3966097123553,Alta,Marketing de Influencia,No,8.765779013367425
25,1910.7756897034926,Baja,Marketing de Influencia,Sí,74.970217053541
38,2337.3864079782898,Baja,Publicidad en Línea,No,51.939990619871736
43,999.7358213307041,Media,Publicidad en Línea,Sí,90.64205696367733
20,2865.6993736928043,Baja,Publicidad en Línea,No,92.83808666171117
34,1087.017560272906,Alta,Marketing de Contenido,Sí,64.02804167818348
41,2852.8453677007888,Alta,Marketing de Influencia,Sí,62.43812145674597
42,3715.778692269872,Alta,Marketing de Influencia,Sí,6.836516500088385
22,3782.813290264113,Media,Publicidad en Eventos,Sí,7.179210788186152
54,3266.7642861045206,Alta,Publicidad en Eventos,Sí,25.532045966981144
41,2294.8350073936144,Baja,Publicidad en Línea,No,95.9987698646783
48,3397.7085566707915,Baja,Marketing de Contenido,No,54.586636311427384
43,1993.710889494528,Media,Publicidad en Línea,No,34.55594646568745
38,1694.59549641006,Alta,Marketing de Influencia,Sí,32.41352544161577
51,2898.6399789862985,Alta,Publicidad en Línea,No,36.93857907467203
55,1067.0991886108209,Alta,Marketing de Influencia,No,29.0901029272967
41,574.8342960638815,Baja,Marketing de Contenido,No,45.68564160811
45,1654.2985129404942,Media,Marketing de Influencia,No,86.52529249081114
47,1560.35077547128,Baja,Publicidad en Eventos,No,75.86001556722712
51,745.939181389208,Media,Marketing de Contenido,Sí,86.40302963644466
40,3461.8804946316163,Media,Publicidad en Línea,Sí,34.37553264834056
25,2772.14681600037,Alta,Marketing de Influencia,Sí,95.91382867808366
59,395.42730491140367,Media,Publicidad en Eventos,No,9.590498841151774
27,2298.590361298805,Baja,Marketing de Influencia,Sí,56.01272212944074
